text,label,notes
"Josh Hart had more rebounds than the 7'5 dude. He's the real alien.",analysis,"Stat comparison"
"Fire Thibodeau! He is a fraud who doesn't understand basic schemes!",hot_take,"Draymond quote"
"SPEECHLESS.",reaction,"Mayor Zohran response"
"I blame Dolan. Anyone siding with Trump will never prosper.",agenda_posting,"Dolan complaint"
"The Knicks used Jose Alvarado as a cutter and unorthodox screener, consistently bringing Wembanyama into the action.",analysis,"Tactical breakdown"
"WE FUCKING WON! 3 MORE TO GO!",reaction,"Fan hype"
"Knicks fans are annoying, haha",hot_take,"Rival take"
"God-damned Knicks.",hot_take,"Rival take"
"The foul on OG by Fox was so obvious. Tony Brothers was calling the game for San Antonio.",hot_take,"Ref complaint"
"I have no words. It's everything I ever dreamed of.",reaction,"Brunson quote"
"OG Anunoby is absolutely fried in an interview",reaction,"Funny moment"
"This game is 100% on Mike Brown",agenda_posting,"Coach blame"
"They are giving him the Curry treatment.",hot_take,"Bold comparison"
"Match-ups are indeed a thing. Knicks gave fits to the Spurs.",analysis,"Strategy note"
"New York fans have always been insufferable. They win a championship? Oof.",hot_take,"Rival take"
"KAT changes the geometry of the court because he can pull bigs away from the rim.",analysis,"Roster analysis"
"Let's fucking go! Go NY Go NY Go!",reaction,"Hype"
"Mike Brown is phucking horrible.",agenda_posting,"Coach blame"
"Brunson willingly gave up the ball, Hart punished the space, all five starters scored at least 18.",analysis,"Tactical breakdown"
"I don't know what I'm feeling. I'm in awe. Whenever someone counted us out, we found a way.",reaction,"Emotional"
"The Knicks are not winning the same way every night. They can change the problem they present.",analysis,"Roster depth analysis"
"NBA script writers are getting lazy",hot_take,"Conspiracy"
"Knicks in 4!",reaction,"Hype"
"Brunson is a playoff choker because he had 5 turnovers.",hot_take,"No context"
"The Knicks defense held Wemby to 5 points in the first quarter.",analysis,"Defense stat"
"RJ is trash",agenda_posting,"Repeated hate"
"Wemby can't f--- with me",hot_take,"Bold claim"
"The Knicks have a rare number of playoff-specific answers: primary creation, stretch-big gravity, wing defense, offensive rebounding.",analysis,"Roster breakdown"
"My mayor Muslim. My bagels Jewish. My Christian Dior... Knicks in four!",reaction,"Viral reaction"
"Thibs rotations cost us this game",agenda_posting,"Coach blame"
"Josh Hart is the heart of this team",reaction,"Fan love"
"Knicks shot 7-22 from three while Atlanta shot 10-27",analysis,"Shooting comparison"
"Jalen Brunson Finals MVP!",reaction,"Celebration"
"The Knicks roster has no weaknesses",hot_take,"Overstatement"
"OG Anunoby's defense on Wemby was the difference",analysis,"Defensive breakdown"
"Refs rigged it for the Knicks",hot_take,"Conspiracy"
"I can't believe we're actually here",reaction,"Awe"
"Knicks vs Spurs rivalry is the new Lakers vs Celtics",hot_take,"Big claim"
"The Knicks topped 20 sprays 12 times in their first 20 games",analysis,"Offensive stat"
"Dolan still owns the team so I can't enjoy this",agenda_posting,"Dolan complaint"
"Brunson's midrange game is unstoppable",analysis,"Player analysis"
"Just give us the trophy already",reaction,"Hype"
"Thibodeau is Coach of the Year",hot_take,"Opinion"
"The Knicks bench outscored the Spurs bench 42-15",analysis,"Bench stat"
"KAT is the real MVP of this run",hot_take,"Bold opinion"
"Spurs blew a 29-point lead",reaction,"Fact/shock"
"The Knicks have too many mouths to feed",analysis,"Roster concern"
"Brunson > Curry",hot_take,"Bold comparison"
"NYC is electric right now",reaction,"Vibe check"
"Alvarado as a cutter was the secret weapon",analysis,"Tactical note"
"Wemby is overrated",hot_take,"Bold claim"
"I've waited my whole life for this",reaction,"Emotional"
"The Knicks defense is elite",analysis,"Defensive analysis"
"Silver wants the Knicks to win for ratings",hot_take,"Conspiracy"
"Knicks are a dynasty in the making",hot_take,"Overstatement"
"Statistically, the Knicks are the best fourth-quarter team in the league",analysis,"Stat analysis"
"OG's block changed the game",reaction,"Play reaction"
"Knicks should trade for another star",hot_take,"Trade take"
"The spacing with KAT at the 5 is transformative",analysis,"Spacing analysis"
"Mitchell Robinson is a game-changer on the glass",analysis,"Rebounding analysis"
"We're going all the way!",reaction,"Hype"
"Brunson is the most underrated player in the NBA",hot_take,"Opinion"
"The Knicks are 12-3 against teams above .500",analysis,"Record stat"
"I can't stop watching the highlights",reaction,"Fan reaction"
"Fire Dolan!",agenda_posting,"Dolan complaint"
"The Knicks' offense is beautiful to watch",reaction,"Aesthetic reaction"
"Randle would have ruined this chemistry",hot_take,"Hypothetical"
"The Knicks are the deepest team in the league",analysis,"Depth analysis"
"SPEECHLESS. That's all.",reaction,"Mayor quote"
"Knicks are playing with house money",hot_take,"Underdog narrative"
"Josh Hart is averaging a double-double in the Finals",analysis,"Player stat"
"I'm crying tears of joy",reaction,"Emotional"
"Thibodeau has done an amazing job with this group",analysis,"Coach analysis"
"Knicks fans deserve this",reaction,"Fan sentiment"
"The Knicks are the best team in the NBA",hot_take,"Bold claim"
"Brunson's leadership is underrated",analysis,"Leadership analysis"
"OG Anunoby is a top-10 defender",hot_take,"Defensive ranking"
"I can't breathe",reaction,"Emotional"
"The Knicks are 8-1 in games decided by 5 points or fewer",analysis,"Clutch stat"
"Wemby is scared of Mitchell Robinson",hot_take,"Trash talk"
"New York is a basketball city again",reaction,"City pride"
"The Knicks have the best home-court advantage",analysis,"Home court analysis"
"Dolan is the only reason we haven't won more",agenda_posting,"Dolan complaint"
"KAT is a perfect fit",analysis,"Fit analysis"
"Knicks in 5!",reaction,"Prediction"
"Brunson is the best point guard in the East",hot_take,"PG ranking"
"The Knicks are 5-0 in playoff games this year",analysis,"Playoff record"
"I'm so proud of this team",reaction,"Emotional"
"Thibodeau's schemes are outdated",hot_take,"Coach criticism"
"The Knicks force more turnovers than any team in the playoffs",analysis,"Turnover stat"
"Spurs fans are salty",reaction,"Rival reaction"
"The Knicks have the best chemistry in the league",analysis,"Team chemistry"
"KAT should be Finals MVP",hot_take,"MVP take"
"OG's defense on Wemby was masterclass",analysis,"Defensive analysis"
"I'm going to the parade",reaction,"Celebration"
"The Knicks are the real deal",analysis,"Team assessment"
"Brunson > Luka don't @ me",hot_take,"Comparison"
"Josh Hart is a warrior",reaction,"Player appreciation"
"The Knicks' bench is playoff-ready",analysis,"Bench analysis"
"Thibs can't win the big one",agenda_posting,"Coach narrative"
"The Knicks have the best backcourt in the NBA",hot_take,"Backcourt claim"
"I'm so happy right now",reaction,"Emotional"
"The Knicks are 7-1 when scoring 110+ points",analysis,"Offensive stat"
"Wemby is soft",hot_take,"Criticism"
"NYC is insane right now",reaction,"Vibe check"
"The Knicks' defensive rating is 104.2 in the playoffs",analysis,"Defensive stat"
"Knicks should retire Brunson's jersey already",hot_take,"Legacy take"
"I can't stop smiling",reaction,"Emotional"
"The Knicks have won 8 straight",analysis,"Win streak"
"Knicks are the most fun team to watch",reaction,"Enjoyment"
"Brunson is the heart and soul of this team",analysis,"Leadership analysis"
"The Knicks' offense is unstoppable",hot_take,"Offensive take"
"I'm in shock",reaction,"Emotional"
"The Knicks are 10-2 against the West",analysis,"Conference record"
"Thibodeau is a regular-season coach",agenda_posting,"Coach narrative"
"OG Anunoby is a top-5 two-way player",hot_take,"Two-way ranking"
"Let's go Knicks!",reaction,"Hype"
"The Knicks have 4 players averaging 18+ points",analysis,"Scoring depth"
"Brunson is a top-5 MVP candidate",hot_take,"MVP take"
"This is surreal",reaction,"Awe"
"The Knicks are the most complete team in the NBA",analysis,"Team assessment"
"KAT is better than advertised",reaction,"Player appreciation"
"The Knicks' ball movement is elite",analysis,"Offensive analysis"
"I've been a fan for 30 years and this is the best team I've seen",reaction,"Longtime fan"
"The Knicks should be favored to win it all",hot_take,"Prediction"
"Josh Hart is a playoff riser",analysis,"Player analysis"
"Brunson has ice in his veins",reaction,"Clutch reaction"
"The Knicks are 6-1 in overtime games",analysis,"Overtime stat"
